,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Season,Seasonnum
4605,D.J. Wilson,PF,25,TOR,4,54,27.9,.773,.133,.667,1.9,31.8,16.1,14.6,4.6,1.8,9.3,17.0,0.2,0.1,0.4,.328,1.8,3.2,5.0,0.1,2021-2022,5.0
4613,Daequan Cook,SG,20,MIA,59,1441,7.9,.480,.463,.111,1.6,13.3,7.4,9.1,0.8,0.5,10.5,19.8,-1.0,0.6,-0.4,-0.013,-3.4,-1.9,-5.2,-1.2,2007-2008,1.0
4614,Daequan Cook,SF,21,MIA,75,1833,10.3,.512,.612,.087,1.2,11.2,6.2,6.2,1.1,0.4,5.9,18.2,0.9,1.3,2.2,.056,-0.8,-1.4,-2.1,0.0,2008-2009,2.0
4615,Daequan Cook,SG,22,MIA,45,691,7.5,.422,.498,.099,1.5,12.3,7.0,9.8,1.1,1.2,8.3,19.6,-0.7,0.8,0.1,.010,-2.9,-0.4,-3.3,-0.2,2009-2010,3.0
4616,Daequan Cook,SG,23,OKC,43,598,12.8,.630,.851,.110,1.6,12.1,7.0,5.3,1.2,0.1,8.2,15.7,1.2,0.4,1.6,.126,1.8,-0.7,1.1,0.5,2010-2011,4.0
4617,Daequan Cook,SG,24,OKC,57,989,9.2,.509,.770,.074,1.5,11.9,7.0,2.3,1.1,0.8,5.0,14.7,0.8,0.8,1.6,.078,-0.5,-0.7,-1.3,0.2,2011-2012,5.0
4619,Dahntay Jones,SG,23,MEM,20,154,2.5,.311,.075,.208,5.1,11.9,8.4,12.0,1.7,2.8,17.2,20.4,-0.5,0.2,-0.4,-0.114,-7.1,-0.6,-7.7,-0.2,2003-2004,1.0
4620,Dahntay Jones,SG,24,MEM,52,649,9.6,.534,.316,.337,2.0,10.7,6.4,5.5,1.1,1.3,11.7,18.0,0.2,0.6,0.9,.066,-3.0,-0.3,-3.4,-0.2,2004-2005,2.0
4621,Dahntay Jones,SF,25,MEM,71,967,8.0,.462,.080,.354,2.5,10.4,6.5,7.0,2.2,1.2,14.1,17.8,-0.9,1.5,0.6,.029,-5.3,0.9,-4.4,-0.6,2005-2006,3.0
4622,Dahntay Jones,SG,26,MEM,78,1671,9.6,.542,.026,.377,3.4,7.6,5.5,6.6,1.2,1.0,14.6,17.0,0.7,0.0,0.7,.019,-3.0,-1.6,-4.6,-1.1,2006-2007,4.0
4623,Dahntay Jones,SG,27,SAC,25,206,13.5,.537,.113,.962,4.1,15.7,10.0,8.9,2.0,2.3,11.7,18.5,0.2,0.2,0.4,.096,-1.7,1.1,-0.6,0.1,2007-2008,5.0
4642,Dale Davis,PF,22,IND,64,1301,13.3,.571,.004,.545,14.2,20.3,17.4,3.0,1.0,3.4,12.4,12.7,1.9,1.5,3.4,.126,-0.9,-0.4,-1.3,0.2,1991-1992,1.0
4643,Dale Davis,PF,23,IND,82,2264,16.3,.573,.000,.421,14.2,20.7,17.5,4.2,1.4,4.1,11.1,13.3,4.0,2.9,6.9,.146,0.7,0.3,1.0,1.7,1992-1993,2.0
4644,Dale Davis,PF,24,IND,66,2292,15.9,.542,.002,.505,14.7,21.3,18.1,6.5,1.1,3.2,12.5,15.6,3.5,3.6,7.0,.147,1.0,0.3,1.2,1.9,1993-1994,3.0
4645,Dale Davis,PF,25,IND,74,2346,16.1,.570,.002,.450,13.6,22.1,17.9,4.0,1.6,3.8,15.2,15.9,2.6,4.3,6.8,.140,0.1,0.8,0.9,1.7,1994-1995,4.0
4646,Dale Davis,PF,26,IND,78,2617,14.3,.553,.000,.482,12.4,21.1,16.9,4.6,1.2,3.4,14.1,14.8,2.6,3.7,6.2,.115,0.1,0.3,0.4,1.5,1995-1996,5.0
4658,Dale Ellis,SF,23,DAL,67,1059,15.1,.503,.059,.245,11.6,15.8,13.7,7.6,1.9,0.5,12.5,24.6,0.5,1.0,1.5,.066,-0.8,-1.6,-2.4,-0.1,1983-1984,1.0
4659,Dale Ellis,SF,24,DAL,72,1314,14.7,.514,.181,.172,8.5,12.2,10.3,6.2,1.7,0.3,8.2,22.5,1.3,1.1,2.4,.088,0.3,-1.3,-1.0,0.3,1984-1985,2.0
4660,Dale Ellis,SF,25,DAL,72,1086,13.5,.502,.368,.174,8.9,8.1,8.5,4.6,1.7,0.4,7.0,20.4,1.2,0.4,1.6,.071,1.1,-2.0,-0.9,0.3,1985-1986,3.0
4661,Dale Ellis,SG,26,SEA,82,3073,19.0,.588,.158,.322,6.6,9.3,7.9,11.9,1.6,0.6,12.1,25.3,7.6,1.7,9.3,.145,3.5,-1.1,2.4,3.4,1986-1987,4.0
