,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Season,Seasonnum
16671,Nick Calathes,SG,24,MEM,71,1173,12.3,.506,.196,.232,2.3,11.5,6.9,26.5,3.0,0.6,22.8,17.5,-0.1,1.6,1.5,.062,-2.5,1.6,-0.9,0.3,2013-2014,1.0
16672,Nick Calathes,SG,25,MEM,58,838,12.3,.455,.174,.182,2.6,11.8,7.2,26.6,3.9,0.5,18.6,17.9,-0.4,1.5,1.1,.065,-3.1,3.2,0.0,0.4,2014-2015,2.0
16673,Nick Collison,C,24,SEA,82,1396,15.0,.570,.008,.333,13.7,19.2,16.5,3.9,1.3,2.8,13.3,15.5,2.7,1.2,3.9,.135,-1.3,-0.4,-1.7,0.1,2004-2005,1.0
16674,Nick Collison,PF,25,SEA,66,1448,14.0,.556,.008,.287,11.8,19.0,15.4,8.1,0.8,1.9,14.8,16.1,2.2,0.1,2.3,.075,-1.1,-2.1,-3.2,-0.4,2005-2006,2.0
16675,Nick Collison,C,26,SEA,82,2378,14.2,.546,.003,.313,11.4,22.2,16.8,5.4,1.1,2.1,14.5,16.2,2.8,1.8,4.6,.093,-1.4,-1.0,-2.4,-0.3,2006-2007,3.0
16676,Nick Collison,PF,27,SEA,78,2223,15.0,.537,.003,.261,12.5,23.3,17.9,7.9,1.1,1.9,14.2,16.2,2.2,2.3,4.5,.098,-1.2,-0.2,-1.4,0.3,2007-2008,4.0
16677,Nick Collison,C,28,OKC,71,1831,14.8,.599,.005,.318,11.2,19.7,15.4,5.8,1.4,2.0,13.0,13.5,3.0,2.0,5.0,.130,-1.5,0.3,-1.2,0.4,2008-2009,5.0
16678,Nick Collison,C,29,OKC,75,1557,13.1,.616,.013,.346,11.5,16.7,14.2,3.7,1.2,2.3,15.0,12.1,2.6,2.2,4.7,.146,-1.9,0.8,-1.2,0.3,2009-2010,6.0
16679,Nick Collison,C,30,OKC,71,1524,10.8,.600,.000,.302,9.5,14.6,12.1,6.7,1.4,1.5,16.7,9.8,2.1,1.5,3.6,.113,-1.9,0.7,-1.2,0.3,2010-2011,7.0
16680,Nick Collison,PF,31,OKC,63,1307,12.1,.622,.005,.308,11.1,12.7,12.0,9.3,1.3,1.6,21.1,10.0,2.3,1.2,3.5,.130,-0.5,0.7,0.2,0.7,2011-2012,8.0
