,SEASON,AGE,TEAM,LEAGUE,POS,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,name
0,2012-13,19.0,MEM,NBA,SG,6.0,0.0,2.8,0.3,1.8,0.182,0.0,0.3,0.0,0.3,1.5,0.222,0.182,0.7,0.7,1.0,0.2,0.5,0.7,0.3,0.2,0.0,0.3,0.2,1.3,Tony Wroten
0,1978-79,24.0,NJN,NBA,PG,2.0,,41.5,7.5,19.0,0.395,,,,7.5,19.0,0.395,0.395,4.0,4.5,0.889,3.0,4.5,7.5,8.5,4.0,1.5,3.0,3.0,19.0,Eddie Jordan
1,1980-81,26.0,LAL,NBA,PG,2.0,,2.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,Eddie Jordan
2,1981-82,27.0,LAL,NBA,PG,3.0,,2.0,0.0,0.7,0.0,0.0,0.3,0.0,0.0,0.3,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,1.7,0.7,0.0,0.3,0.0,0.0,Eddie Jordan
0,1989-90,23.0,DEN,NBA,SG,3.0,0.0,23.3,5.0,9.7,0.517,0.0,0.3,0.0,5.0,9.3,0.536,0.517,4.7,6.3,0.737,1.7,4.3,6.0,3.0,0.3,0.0,2.7,2.0,14.7,Todd Lichti
0,2003-04,21.0,NYK,NBA,PF,4.0,0.0,14.3,1.5,2.8,0.545,0.0,0.0,,1.5,2.8,0.545,0.545,1.0,1.5,0.667,1.0,1.5,2.5,0.0,0.0,0.3,0.0,1.8,4.0,Michael Sweetney
1,2005-06,23.0,CHI,NBA,C,6.0,6.0,20.0,2.3,5.7,0.412,0.0,0.0,,2.3,5.7,0.412,0.412,2.5,3.2,0.789,2.7,2.8,5.5,1.2,0.5,1.0,1.2,4.0,7.2,Michael Sweetney
2,2006-07,24.0,CHI,NBA,C,1.0,0.0,3.0,1.0,2.0,0.5,0.0,0.0,,1.0,2.0,0.5,0.5,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,Michael Sweetney
0,1979-80,24.0,LAL,NBA,C,16.0,,12.2,1.6,4.3,0.362,0.0,0.1,0.0,1.6,4.3,0.368,0.362,0.3,0.4,0.833,1.6,2.8,4.3,0.1,0.2,0.1,0.6,2.2,3.4,Mark Landsberger
1,1980-81,25.0,LAL,NBA,PF,3.0,,10.7,0.7,2.3,0.286,0.0,0.0,,0.7,2.3,0.286,0.286,0.3,0.3,1.0,3.0,2.0,5.0,0.0,0.3,0.0,0.3,1.7,1.7,Mark Landsberger
2,1981-82,26.0,LAL,NBA,PF,9.0,,6.7,0.3,1.0,0.333,0.0,0.0,,0.3,1.0,0.333,0.333,0.4,1.0,0.444,1.2,1.2,2.4,0.2,0.0,0.0,0.4,1.3,1.1,Mark Landsberger
